ts,ticker,action,score,last
2026-03-06T14:57:29,SAP.DE,HOLD / AFVENT,1.87,171.60000610351562
2026-03-06T15:06:14,SAP.DE,HOLD / AFVENT,1.87,171.5
2026-03-06T15:22:36,SAP.DE,HOLD / AFVENT,1.89,171.89999389648438
2026-03-06T15:25:12,NOVO-B.CO,SÆLG / UNDGÅ,0.83,247.9499969482422
2026-03-06T15:25:23,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:32,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:33,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:34,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:36,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:36,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:37,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:38,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:39,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:40,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:40,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:41,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:25:41,SAP.DE,HOLD / AFVENT,1.89,171.89999389648438
2026-03-06T15:25:42,ALK-B.CO,KØB / KIG NÆRMERE,4.85,223.6000061035156
2026-03-06T15:26:04,AACB,KØB / KIG NÆRMERE,4.46,10.34000015258789
2026-03-06T15:26:15,AAL,SÆLG / UNDGÅ,3.16,11.33530044555664
2026-03-06T15:26:23,AAL,SÆLG / UNDGÅ,3.16,11.335000038146973
2026-03-06T15:27:39,AAL,SÆLG / UNDGÅ,3.16,11.31999969482422
2026-03-06T15:27:44,AAL,SÆLG / UNDGÅ,3.16,11.33530044555664
2026-03-06T15:30:00,AACB,KØB / KIG NÆRMERE,4.46,10.34000015258789
2026-03-06T15:30:02,AAL,SÆLG / UNDGÅ,3.16,11.33530044555664
2026-03-06T15:30:05,AACB,KØB / KIG NÆRMERE,4.46,10.34000015258789
