ticker,name,country,exchange,type,source,yahoo_symbol
ABI,Anheuser-Busch InBev SA/NV,Belgium,Euronext,Common Stock,Twelve Data,ABI
ABO,ABO-Group Environment NV,Belgium,Euronext,Common Stock,Twelve Data,ABO
ACCB,Accentis NV,Belgium,Euronext,Common Stock,Twelve Data,ACCB
ACKB,Ackermans & van Haaren NV,Belgium,Euronext,Common Stock,Twelve Data,ACKB
AED,Aedifica SA,Belgium,Euronext,REIT,Twelve Data,AED
AGFB,Agfa-Gevaert NV,Belgium,Euronext,Common Stock,Twelve Data,AGFB
AGS,ageas SA/NV,Belgium,Euronext,Common Stock,Twelve Data,AGS
ALEMS,European Medical Solutions S.A.,Belgium,Euronext,Common Stock,Twelve Data,ALEMS
ANT,Immo-Antares NV,Belgium,Euronext,Common Stock,Twelve Data,ANT
ARGX,argenx SE,Belgium,Euronext,Common Stock,Twelve Data,ARGX
ASCE,Ascencio SA,Belgium,Euronext,REIT,Twelve Data,ASCE
ATEB,Atenor SA,Belgium,Euronext,Common Stock,Twelve Data,ATEB
AZE,Azelis Group NV,Belgium,Euronext,Common Stock,Twelve Data,AZE
B271,Belgium Government Bond,Belgium,Euronext,Common Stock,Twelve Data,B271
B275,Belgium Government Retail Bond,Belgium,Euronext,Common Stock,Twelve Data,B275
B280,Belgium Government Retail Bond,Belgium,Euronext,Common Stock,Twelve Data,B280
B281,Belgium Government Retail Bond,Belgium,Euronext,Common Stock,Twelve Data,B281
B284,Belgium Government Retail Bond,Belgium,Euronext,Common Stock,Twelve Data,B284
B288,BELG3%4MAR2033,Belgium,Euronext,Common Stock,Twelve Data,B288
B291,Kingdom of Belgium Bond 5.5% 2028,Belgium,Euronext,Common Stock,Twelve Data,B291
B304,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B304
B320,"OLO4,25%28MAR41",Belgium,Euronext,Common Stock,Twelve Data,B320
B324,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B324
B326,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B326
B331,Kingdom of Belgium Government Bond,Belgium,Euronext,Common Stock,Twelve Data,B331
B333,Kingdom of Belgium Government Bond,Belgium,Euronext,Common Stock,Twelve Data,B333
B335,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B335
B336,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B336
B337,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B337
B338,OLO1.6%22JUN47,Belgium,Euronext,Common Stock,Twelve Data,B338
B340,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B340
B341,Kingdom of Belgium Government Bond,Belgium,Euronext,Common Stock,Twelve Data,B341
B343,OLO2.25%22JUN2057,Belgium,Euronext,Common Stock,Twelve Data,B343
B344,Belgium 1.45% BDS 22/06/2037 EUR0.01 '84' 'REGS',Belgium,Euronext,Common Stock,Twelve Data,B344
B345,Belgium Kingdom Government Bond,Belgium,Euronext,Common Stock,Twelve Data,B345
B346,Belgium Kingdom Government Bond 1.25% 04/22/2033,Belgium,Euronext,Common Stock,Twelve Data,B346
B347,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B347
B348,OLO1.7%22JUN2050,Belgium,Euronext,Common Stock,Twelve Data,B348
B349,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B349
B350,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B350
B351,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B351
B352,Belgium Kingdom Government Bond,Belgium,Euronext,Common Stock,Twelve Data,B352
B353,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B353
B354,Kingdom of Belgium,Belgium,Euronext,Common Stock,Twelve Data,B354
B355,Belgium Kingdom Bond,Belgium,Euronext,Common Stock,Twelve Data,B355
B356,Belgium Kingdom Government Bond,Belgium,Euronext,Common Stock,Twelve Data,B356
B357,OLO3%22JUN2033,Belgium,Euronext,Common Stock,Twelve Data,B357
B358,OLO3.3%22JUN2054,Belgium,Euronext,Common Stock,Twelve Data,B358
BALTA,Balta Group NV,Belgium,Euronext,Common Stock,Twelve Data,BALTA
BANI,Banimmo SA,Belgium,Euronext,Common Stock,Twelve Data,BANI
BANQ,Banqup Group SA,Belgium,Euronext,Common Stock,Twelve Data,BANQ
BAR,Barco NV,Belgium,Euronext,Common Stock,Twelve Data,BAR
BE0000359688,OLO3.45%22JUN2043,Belgium,Euronext,Common Stock,Twelve Data,BE0000359688
BE0000360694,OLO2.85%22OCT2034,Belgium,Euronext,Common Stock,Twelve Data,BE0000360694
BE0000361700,Kingdom of Belgium Bond,Belgium,Euronext,Common Stock,Twelve Data,BE0000361700
BE0000362716,OLO2.7%22OCT2029,Belgium,Euronext,Common Stock,Twelve Data,BE0000362716
BE0000363722,Kingdom of Belgium 3.1% OLO due 22 June 2035,Belgium,Euronext,Common Stock,Twelve Data,BE0000363722
BE0000364738,Kingdom of Belgium 3.45% Government Bond due 22 June 2042,Belgium,Euronext,Common Stock,Twelve Data,BE0000364738
BE0000365743,BE0000365743,Belgium,Euronext,Common Stock,Twelve Data,BE0000365743
BE0000367764,BE0000367764,Belgium,Euronext,Common Stock,Twelve Data,BE0000367764
BE0002654359,VRANKE3.75%19JUN26,Belgium,Euronext,Common Stock,Twelve Data,BE0002654359
BE0002655364,SD Worx SA,Belgium,Euronext,Common Stock,Twelve Data,BE0002655364
BE0002657386,Gimv N.V.,Belgium,Euronext,Common Stock,Twelve Data,BE0002657386
BE0002658392,GIMV NV,Belgium,Euronext,Common Stock,Twelve Data,BE0002658392
BE0002659408,De Persgroep N.V. 2.15% Corporate Bond due 2026,Belgium,Euronext,Common Stock,Twelve Data,BE0002659408
BE0002669506,Belfius Bank SA/NV 0.01% Euro Medium Term Note due 1 October 2029,Belgium,Euronext,Common Stock,Twelve Data,BE0002669506
BE0002673540,Bekaert SA,Belgium,Euronext,Common Stock,Twelve Data,BE0002673540
BE0002684653,ING Belgium SA/NV 0.01% Notes due 20 February 2030,Belgium,Euronext,Common Stock,Twelve Data,BE0002684653
BE0002735166,Bekaert SA 2.75% 23 October 2027 Bond,Belgium,Euronext,Common Stock,Twelve Data,BE0002735166
BE0002737188,Atenor Group SA,Belgium,Euronext,Common Stock,Twelve Data,BE0002737188
BE0002751320,La Lorraine Bakery Group N.V.,Belgium,Euronext,Common Stock,Twelve Data,BE0002751320
BE0002775568,Atenor Group SA,Belgium,Euronext,Common Stock,Twelve Data,BE0002775568
BE0002827088,Immobel S.A.,Belgium,Euronext,Common Stock,Twelve Data,BE0002827088
BE0002867480,Vandemoortele NV,Belgium,Euronext,Common Stock,Twelve Data,BE0002867480
BE0002920016,Colruyt Group N.V.,Belgium,Euronext,Common Stock,Twelve Data,BE0002920016
BE0002924059,KBC Bank NV 3.125% Euro Medium Term Note due 22 February 2027,Belgium,Euronext,Common Stock,Twelve Data,BE0002924059
BE0003527356,BE0003527356,Belgium,Euronext,Common Stock,Twelve Data,BE0003527356
BE0010621481,BE0010621481,Belgium,Euronext,Common Stock,Twelve Data,BE0010621481
BE0014199377,BE0014199377,Belgium,Euronext,Common Stock,Twelve Data,BE0014199377
BE0014799556,BE0014799556,Belgium,Euronext,Common Stock,Twelve Data,BE0014799556
BE0022780820,VDK BANK,Belgium,Euronext,Common Stock,Twelve Data,BE0022780820
BE0107958945,BE0107958945,Belgium,Euronext,Common Stock,Twelve Data,BE0107958945
BE0172505399,BNP PARIBAS FORTIS,Belgium,Euronext,Common Stock,Twelve Data,BE0172505399
BE0312809818,Kingdom of Belgium Treasury Certificate 0% 2026-02-12,Belgium,Euronext,Common Stock,Twelve Data,BE0312809818
BE0312810824,Kingdom of Belgium Treasury Certificate 0% 12 Mar 2026,Belgium,Euronext,Common Stock,Twelve Data,BE0312810824
BE0312811830,Belgium Treasury Certificate 0% 9 April 2026,Belgium,Euronext,Common Stock,Twelve Data,BE0312811830
BE0312813851,Kingdom of Belgium Treasury Bill 0% 11 June 2026,Belgium,Euronext,Common Stock,Twelve Data,BE0312813851
BE0312814867,Belgium Treasury Certificate 0% 09 July 2026,Belgium,Euronext,Common Stock,Twelve Data,BE0312814867
BE0312815872,BE0312815872,Belgium,Euronext,Common Stock,Twelve Data,BE0312815872
BE0312816888,"Belgium Treasury Certificate 0% 364-day 10 Sept 2026, Government of Belgium",Belgium,Euronext,Common Stock,Twelve Data,BE0312816888
BE0312817894,BE0312817894,Belgium,Euronext,Common Stock,Twelve Data,BE0312817894
