ticker,name,country,exchange,type,source,yahoo_symbol
3212,Hvidbjerg Bank A/S,Denmark,OMXC,Common Stock,Twelve Data,3212
AAB,Aalborg Boldspilklub A/S,Denmark,OMXC,Common Stock,Twelve Data,AAB
AGAT,Agat Ejendomme A/S,Denmark,OMXC,Common Stock,Twelve Data,AGAT
AGF.B,AGF A/S,Denmark,OMXC,Common Stock,Twelve Data,AGF.B
AGILC,Agillic A/S,Denmark,OMXC,Common Stock,Twelve Data,AGILC
ALEFRM,Alefarm Brewing A/S,Denmark,OMXC,Common Stock,Twelve Data,ALEFRM
ALK.B,ALK-Abello A/S,Denmark,OMXC,Common Stock,Twelve Data,ALK.B
ALMB,Alm. Brand A/S,Denmark,OMXC,Common Stock,Twelve Data,ALMB
ALSYDB,AL Sydbank A/S,Denmark,OMXC,Common Stock,Twelve Data,ALSYDB
AMBU.B,Ambu A/S,Denmark,OMXC,Common Stock,Twelve Data,AMBU.B
AOJ.B,Brødrene A & O Johansen A/S,Denmark,OMXC,Common Stock,Twelve Data,AOJ.B
ASTK,Asetek A/S,Denmark,OMXC,Common Stock,Twelve Data,ASTK
ATLA.DKK,P/F Atlantic Petroleum,Denmark,OMXC,Common Stock,Twelve Data,ATLA.DKK
BACTIQ,BactiQuant A/S,Denmark,OMXC,Common Stock,Twelve Data,BACTIQ
BAIBDKAAUA,BankInvest BIX DK Akt Ansvarlig,Denmark,OMXC,Common Stock,Twelve Data,BAIBDKAAUA
BAIBDKAAUAKKA,BankInv BIX DK Akt Ansvarl Udvi,Denmark,OMXC,Common Stock,Twelve Data,BAIBDKAAUAKKA
BAIDKAIBA,Investeringsforeningen Bankinvest - Danske Aktier Indeks Bæredygtig Kl,Denmark,OMXC,Common Stock,Twelve Data,BAIDKAIBA
BAIDKAIBAKKA,Investeringsforeningen Bankinvest - Danske Aktier Indeks Bæredygtig Akk A,Denmark,OMXC,Common Stock,Twelve Data,BAIDKAIBAKKA
