ticker,name,country,exchange,type,source,yahoo_symbol
AALLON,Aallon Group Oyj,Finland,OMXH,Common Stock,Twelve Data,AALLON
ACG1V,Aspocomp Group Oyj,Finland,OMXH,Common Stock,Twelve Data,ACG1V
ADMCM,Admicom Oyj,Finland,OMXH,Common Stock,Twelve Data,ADMCM
ADMIN,Administer Oyj,Finland,OMXH,Common Stock,Twelve Data,ADMIN
AFAGR,Afarak Group SE,Finland,OMXH,Common Stock,Twelve Data,AFAGR
AIFORIA,Aiforia Technologies Oyj,Finland,OMXH,Common Stock,Twelve Data,AIFORIA
AKTIA,Aktia Pankki Oyj,Finland,OMXH,Common Stock,Twelve Data,AKTIA
ALBAV,Ålandsbanken Abp,Finland,OMXH,Common Stock,Twelve Data,ALBAV
ALBBV,Ålandsbanken Abp Class B,Finland,OMXH,Common Stock,Twelve Data,ALBBV
ALEX,Alexandria Group Oyj,Finland,OMXH,Common Stock,Twelve Data,ALEX
ALISA,Alisa Bank Plc,Finland,OMXH,Common Stock,Twelve Data,ALISA
ALMA,Alma Media Oyj,Finland,OMXH,Common Stock,Twelve Data,ALMA
ALTIA,Altia Oyj,Finland,OMXH,Common Stock,Twelve Data,ALTIA
ANORA,Anora Group Oyj,Finland,OMXH,Common Stock,Twelve Data,ANORA
APETIT,Apetit Oyj,Finland,OMXH,Common Stock,Twelve Data,APETIT
ARVOSK,Pohjanmaan Arvo Sijoitusosuuskunta,Finland,OMXH,Common Stock,Twelve Data,ARVOSK
ASPO,Aspo Oyj,Finland,OMXH,Common Stock,Twelve Data,ASPO
ASUNTO,Asuntosalkku Oyj,Finland,OMXH,Common Stock,Twelve Data,ASUNTO
ATRAV,Atria Oyj,Finland,OMXH,Common Stock,Twelve Data,ATRAV
BEAR.KULTA.X2.H,BEAR.KULTA.X2.H,Finland,OMXH,Common Stock,Twelve Data,BEAR.KULTA.X2.H
BEAR.OMXH15.X3.H,BEAR OMXH15 X3 H ETN,Finland,OMXH,Common Stock,Twelve Data,BEAR.OMXH15.X3.H
BEER,Nokian Panimo Oyj,Finland,OMXH,Common Stock,Twelve Data,BEER
BETOLAR,Betolar Oyj,Finland,OMXH,Common Stock,Twelve Data,BETOLAR
BIOBV,Biohit Oyj Class B,Finland,OMXH,Common Stock,Twelve Data,BIOBV
BITTI,Bittium Oyj,Finland,OMXH,Common Stock,Twelve Data,BITTI
BOREO,Boreo Oyj,Finland,OMXH,Common Stock,Twelve Data,BOREO
BRETEC,Bioretec Oy,Finland,OMXH,Common Stock,Twelve Data,BRETEC
BULL.KULTA.X2.H,BULL KULTA X2 H ETN,Finland,OMXH,Common Stock,Twelve Data,BULL.KULTA.X2.H
BULL.NOKIA.X2.H,BULL NOKIA X2 H ETN,Finland,OMXH,Common Stock,Twelve Data,BULL.NOKIA.X2.H
BULL.NOKIA.X3.H,BULL NOKIA X3 H ETN,Finland,OMXH,Common Stock,Twelve Data,BULL.NOKIA.X3.H
BULL.OMXH15.X2.H,BULL OMXH15 X2 H ETN,Finland,OMXH,Common Stock,Twelve Data,BULL.OMXH15.X2.H
BULL.OMXH15.X3.H,BULL OMXH15 X3 H ETN,Finland,OMXH,Common Stock,Twelve Data,BULL.OMXH15.X3.H
BULL.VEHNA.X2.H,BULL VEHNA X2 H ETN,Finland,OMXH,Common Stock,Twelve Data,BULL.VEHNA.X2.H
CANATU,Canatu Oyj A,Finland,OMXH,Common Stock,Twelve Data,CANATU
CAPMAN,CapMan Oyj,Finland,OMXH,Common Stock,Twelve Data,CAPMAN
CGCBV,Cargotec Oyj,Finland,OMXH,Common Stock,Twelve Data,CGCBV
CITYVA,Cityvarasto Oyj,Finland,OMXH,Common Stock,Twelve Data,CITYVA
CONSTI,Consti Oyj,Finland,OMXH,Common Stock,Twelve Data,CONSTI
CTH1V,Componenta Oyj,Finland,OMXH,Common Stock,Twelve Data,CTH1V
CTY1S,Citycon Oyj,Finland,OMXH,Common Stock,Twelve Data,CTY1S
DETEC,Detection Technology Oyj,Finland,OMXH,Common Stock,Twelve Data,DETEC
DIGIA,Digia Oyj,Finland,OMXH,Common Stock,Twelve Data,DIGIA
DIGIGR,Digitalist Group Plc,Finland,OMXH,Common Stock,Twelve Data,DIGIGR
DOV1V,Dovre Group Plc,Finland,OMXH,Common Stock,Twelve Data,DOV1V
DUELL,Duell Oyj,Finland,OMXH,Common Stock,Twelve Data,DUELL
DWF,Digital Workforce Services Oyj,Finland,OMXH,Common Stock,Twelve Data,DWF
EAGLE,Eagle Filters Group Plc.,Finland,OMXH,Common Stock,Twelve Data,EAGLE
ECOUP,Ecoup Oyj,Finland,OMXH,Common Stock,Twelve Data,ECOUP
EEZY,Eezy Oyj,Finland,OMXH,Common Stock,Twelve Data,EEZY
ELEAV,Elecster Oyj,Finland,OMXH,Common Stock,Twelve Data,ELEAV
ELISA,Elisa Oyj,Finland,OMXH,Common Stock,Twelve Data,ELISA
ENENTO,Enento Group Oyj,Finland,OMXH,Common Stock,Twelve Data,ENENTO
EQV1V,eQ Oyj,Finland,OMXH,Common Stock,Twelve Data,EQV1V
ERIBR,Telefonaktiebolaget LM Ericsson Class B,Finland,OMXH,Common Stock,Twelve Data,ERIBR
ESENSE,Enersense International Oyj,Finland,OMXH,Common Stock,Twelve Data,ESENSE
ETTE,Etteplan Oyj,Finland,OMXH,Common Stock,Twelve Data,ETTE
EVLI,Evli Plc Class B,Finland,OMXH,Common Stock,Twelve Data,EVLI
EXL1V,Exel Composites Oyj,Finland,OMXH,Common Stock,Twelve Data,EXL1V
FARON,Faron Pharmaceuticals Oy,Finland,OMXH,Common Stock,Twelve Data,FARON
FIA1S,Finnair Oyj,Finland,OMXH,Common Stock,Twelve Data,FIA1S
FOAMIT,Foamit Oyj,Finland,OMXH,Common Stock,Twelve Data,FOAMIT
FODELIA,Fodelia Oyj,Finland,OMXH,Common Stock,Twelve Data,FODELIA
FONDIA,Fondia Oyj,Finland,OMXH,Common Stock,Twelve Data,FONDIA
FORTUM,Fortum Oyj,Finland,OMXH,Common Stock,Twelve Data,FORTUM
FRAMERY,Framery Group Oyj,Finland,OMXH,Common Stock,Twelve Data,FRAMERY
FSECURE,F-Secure Oyj,Finland,OMXH,Common Stock,Twelve Data,FSECURE
FSKRS,Fiskars Oyj Abp,Finland,OMXH,Common Stock,Twelve Data,FSKRS
GLA1V,Glaston Oyj Abp,Finland,OMXH,Common Stock,Twelve Data,GLA1V
GOFORE,Gofore Oyj,Finland,OMXH,Common Stock,Twelve Data,GOFORE
GRK,GRK Infra Oyj,Finland,OMXH,Common Stock,Twelve Data,GRK
HARVIA,Harvia Oyj,Finland,OMXH,Common Stock,Twelve Data,HARVIA
HEALTH,Nightingale Health Oyj,Finland,OMXH,Common Stock,Twelve Data,HEALTH
HIAB,Hiab Oyj,Finland,OMXH,Common Stock,Twelve Data,HIAB
HKFOODS,HKFoods Oyj,Finland,OMXH,Common Stock,Twelve Data,HKFOODS
HKSAV,HKScan Oyj,Finland,OMXH,Common Stock,Twelve Data,HKSAV
HONBS,Honkarakenne Oyj B shares,Finland,OMXH,Common Stock,Twelve Data,HONBS
HRTIS,Herantis Pharma Oyj,Finland,OMXH,Common Stock,Twelve Data,HRTIS
HUH1V,Huhtamäki Oyj,Finland,OMXH,Common Stock,Twelve Data,HUH1V
ICP1V,Incap Oyj,Finland,OMXH,Common Stock,Twelve Data,ICP1V
ILKKA1,Ilkka Oyj,Finland,OMXH,Common Stock,Twelve Data,ILKKA1
ILKKA2,Ilkka Oyj,Finland,OMXH,Common Stock,Twelve Data,ILKKA2
INDERES,Inderes Oyj,Finland,OMXH,Common Stock,Twelve Data,INDERES
INVEST,Investors House Oyj,Finland,OMXH,Common Stock,Twelve Data,INVEST
KALMAR,Kalmar Oyj,Finland,OMXH,Common Stock,Twelve Data,KALMAR
KAMUX,Kamux Oyj,Finland,OMXH,Common Stock,Twelve Data,KAMUX
KCR,Konecranes Oyj,Finland,OMXH,Common Stock,Twelve Data,KCR
KELAS,Kesla Oyj Class A,Finland,OMXH,Common Stock,Twelve Data,KELAS
KEMIRA,Kemira Oyj,Finland,OMXH,Common Stock,Twelve Data,KEMIRA
KEMPOWR,Kempower Oyj,Finland,OMXH,Common Stock,Twelve Data,KEMPOWR
KESKOA,Kesko Oyj,Finland,OMXH,Common Stock,Twelve Data,KESKOA
