ticker,name,country,exchange,type,source,yahoo_symbol
0007H,Goldman Sachs Finance Corp International Ltd.,France,Euronext,Common Stock,Twelve Data,0007H
0105N,Natixis S.A.,France,Euronext,Common Stock,Twelve Data,0105N
0107N,"Natixis 0% Notes due July 7, 2031",France,Euronext,Common Stock,Twelve Data,0107N
0112N,Natixis Pfandbriefbank AG 0% 08/01/2032,France,Euronext,Common Stock,Twelve Data,0112N
0113N,"Natixis S.A. 0% EUR Notes due September 5, 2033",France,Euronext,Common Stock,Twelve Data,0113N
0118N,0118N,France,Euronext,Common Stock,Twelve Data,0118N
0120N,Natixis,France,Euronext,Common Stock,Twelve Data,0120N
0128N,Natixis S.A.,France,Euronext,Common Stock,Twelve Data,0128N
1023P,Banco de Investimento Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,1023P
1025P,Banco de Investimento S.A.,France,Euronext,Common Stock,Twelve Data,1025P
1027P,Banco BCP de Investimento S.A.,France,Euronext,Common Stock,Twelve Data,1027P
1028P,Banco de Crédito e Inversiones S.A.,France,Euronext,Common Stock,Twelve Data,1028P
1040P,Banco Comercial Portugues S.A.,France,Euronext,Common Stock,Twelve Data,1040P
1052P,Banco Comercial Português S.A.,France,Euronext,Common Stock,Twelve Data,1052P
1053P,Banco Comercial Português S.A.,France,Euronext,Common Stock,Twelve Data,1053P
1058P,Banco Comercial Português S.A.,France,Euronext,Common Stock,Twelve Data,1058P
1070P,"Banco Comercial Português, S.A.",France,Euronext,Common Stock,Twelve Data,1070P
1071P,Banco Comercial Português S.A.,France,Euronext,Common Stock,Twelve Data,1071P
1082B,BNP Paribas Issuance B.V.,France,Euronext,Common Stock,Twelve Data,1082B
1101P,Banco Comercial Português S.A.,France,Euronext,Common Stock,Twelve Data,1101P
1102P,Banco Comercial Português S.A.,France,Euronext,Common Stock,Twelve Data,1102P
1103P,Banco Comercial Português S.A.,France,Euronext,Common Stock,Twelve Data,1103P
1104P,Banco Comercial Português S.A.,France,Euronext,Common Stock,Twelve Data,1104P
1105P,Banco Comercial Português S.A.,France,Euronext,Common Stock,Twelve Data,1105P
1612B,BNP Paribas,France,Euronext,Common Stock,Twelve Data,1612B
2CRSI,2CRSI SA,France,Euronext,Common Stock,Twelve Data,2CRSI
2MX,2MX Organic S.A.,France,Euronext,Common Stock,Twelve Data,2MX
2RQAB,BNP Paribas Issuance B.V.,France,Euronext,Common Stock,Twelve Data,2RQAB
4RQAB,BNP Paribas Issuance B.V.,France,Euronext,Common Stock,Twelve Data,4RQAB
74SW,74Software S.A.,France,Euronext,Common Stock,Twelve Data,74SW
AAA,Alan Allman Associates,France,Euronext,Common Stock,Twelve Data,AAA
AABAB,BNP Paribas - Amex Biotech Index Warrant,France,Euronext,Warrant,Twelve Data,AABAB
AABCH,BNP Paribas - Call Warrant on DJ STOXX Large & Mid Cap,France,Euronext,Warrant,Twelve Data,AABCH
AABDX,BNP Paribas Issuance B.V.,France,Euronext,Warrant,Twelve Data,AABDX
AABEN,BNP Paribas Certificate on Dow Jones STOXX 50 Leveraged & Moderate,France,Euronext,Warrant,Twelve Data,AABEN
AABFB,BNP Paribas DJ STOXX 50 Large & MidCap Fund Warrant,France,Euronext,Warrant,Twelve Data,AABFB
AABKX,BNP Paribas Warrant on DJ STOXX Large and Mid Cap,France,Euronext,Warrant,Twelve Data,AABKX
AABML,Crédit Agricole Financial Solutions,France,Euronext,Common Stock,Twelve Data,AABML
AABQL,Credit Agricole Corporate and Investment Bank Luxembourg S.A.,France,Euronext,Common Stock,Twelve Data,AABQL
AABTL,Crédit Agricole CIB Luxembourg,France,Euronext,Common Stock,Twelve Data,AABTL
AAC9L,LCL Emissions Pty Ltd.,France,Euronext,Common Stock,Twelve Data,AAC9L
AACEL,Credit Agricole Corporate and Investment Bank Luxembourg,France,Euronext,Common Stock,Twelve Data,AACEL
AACHL,Crédit Agricole Corporate and Investment Bank Luxembourg,France,Euronext,Common Stock,Twelve Data,AACHL
AACKL,Credit Agricole Corporate and Investment Bank Luxembourg,France,Euronext,Common Stock,Twelve Data,AACKL
AACML,Crédit Agricole Corporate and Investment Bank Luxembourg,France,Euronext,Common Stock,Twelve Data,AACML
AAD4L,LCL Emissions Corp.,France,Euronext,Common Stock,Twelve Data,AAD4L
AAE1L,LCL Emissions Inc.,France,Euronext,Common Stock,Twelve Data,AAE1L
AAE5L,LCL Emissions S.A.,France,Euronext,Common Stock,Twelve Data,AAE5L
AAFIN,BNP Paribas Covered Warrant 50 DJ STOXX Large & Mid Caps,France,Euronext,Warrant,Twelve Data,AAFIN
AAHLT,BNP Paribas CW50 DJ STOXX L&M H Warrant,France,Euronext,Warrant,Twelve Data,AAHLT
AAIND,BNP Paribas DJ STOXX 50 Large Cap Mid Cap Index Warrant,France,Euronext,Warrant,Twelve Data,AAIND
AAINS,BNP Paribas DJ STOXX Large and Mid Cap Warrant,France,Euronext,Warrant,Twelve Data,AAINS
AARTL,BNP Paribas Call Warrant on DJ STOXX Large & Mid Cap Report,France,Euronext,Warrant,Twelve Data,AARTL
AATCX,BNP Paribas S.A. Warrant,France,Euronext,Warrant,Twelve Data,AATCX
AATLC,BNP Paribas SA,France,Euronext,Warrant,Twelve Data,AATLC
AAUTL,BNP Paribas S.A.,France,Euronext,Warrant,Twelve Data,AAUTL
AB,AB Science S.A.,France,Euronext,Common Stock,Twelve Data,AB
ABCA,ABC arbitrage SA,France,Euronext,Common Stock,Twelve Data,ABCA
ABDJI,BNP Paribas S.A. - Dow Jones Industrial Average Warrant,France,Euronext,Warrant,Twelve Data,ABDJI
ABEO,ABEO SA,France,Euronext,Common Stock,Twelve Data,ABEO
ABHSN,BNP Paribas Issuance B.V.,France,Euronext,Warrant,Twelve Data,ABHSN
ABKSP,BNP Paribas Korea KOSPI 200 Warrant,France,Euronext,Warrant,Twelve Data,ABKSP
ABLD,Abl Diagnostics Inc.,France,Euronext,Common Stock,Twelve Data,ABLD
ABNSP,ABN AMRO Bank N.V.,France,Euronext,Warrant,Twelve Data,ABNSP
ABNX,Abionyx Pharma SA,France,Euronext,Common Stock,Twelve Data,ABNX
ABSMI,BNP Paribas Swiss Market Index Warrant,France,Euronext,Warrant,Twelve Data,ABSMI
ABVX,Abivax SA,France,Euronext,Common Stock,Twelve Data,ABVX
AC,Accor SA,France,Euronext,Common Stock,Twelve Data,AC
ACA,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACA
ACAKK,Crédit Agricole S.A. 2.625% 17-Mar-2027,France,Euronext,Common Stock,Twelve Data,ACAKK
ACAKZ,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACAKZ
ACALB,Credit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALB
ACALG,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALG
ACALH,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALH
ACALK,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALK
ACALL,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALL
ACALM,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALM
ACALS,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALS
ACALT,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALT
ACALU,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALU
ACALV,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALV
ACALW,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALW
ACALX,Crédit Agricole S.A.,France,Euronext,Common Stock,Twelve Data,ACALX
