ticker,name,country,exchange,type,source,yahoo_symbol
0001,CK Hutchison Holdings Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0001
0002,CLP Holdings Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0002
0003,The Hong Kong and China Gas Company Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0003
0004,Wharf,Hong Kong,HKEX,Common Stock,Twelve Data,0004
0005,HSBC Holdings plc,Hong Kong,HKEX,Common Stock,Twelve Data,0005
0006,Power Assets Holdings Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0006
0007,Hong Kong Finance Investment Holding Group Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0007
0008,PCCW Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0008
0010,Hang Lung Group Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0010
0012,Henderson Land Development Company Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0012
0013,HUTCHMED,Hong Kong,HKEX,Common Stock,Twelve Data,0013
0014,Hysan Development Company Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0014
0016,Sun Hung Kai Properties Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0016
0017,New World Development Company Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0017
0018,Oriental Press Group Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0018
0019,Swire Pacific Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0019
0020,SenseTime Group Inc.,Hong Kong,HKEX,Common Stock,Twelve Data,0020
0021,Great China Properties Holdings Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0021
0022,Mexan Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0022
0023,"The Bank of East Asia, Limited",Hong Kong,HKEX,Common Stock,Twelve Data,0023
0025,Chevalier International Holdings Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0025
0026,"China Motor Bus Company, Limited",Hong Kong,HKEX,Common Stock,Twelve Data,0026
0027,Galaxy Entertainment Group Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0027
0028,Tian An China Investments Company Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0028
0029,Dynamic Holdings Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0029
0030,Ban Loong Holdings Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0030
0031,China Aerospace International Holdings Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0031
0032,The Cross-Harbour,Hong Kong,HKEX,Common Stock,Twelve Data,0032
0033,Amber Hill Financial Holdings Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0033
0034,Kowloon Development Company Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0034
0035,Far East Consortium International Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0035
0036,Far East Holdings International Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0036
0037,Far East Hotels and Entertainment Limited,Hong Kong,HKEX,Common Stock,Twelve Data,0037
