ticker,name,country,exchange,type,source,yahoo_symbol
011NSETEST,011NSETEST,India,NSE,Common Stock,Twelve Data,011NSETEST
021NSETEST,021NSETEST,India,NSE,Common Stock,Twelve Data,021NSETEST
031NSETEST,031NSETEST,India,NSE,Common Stock,Twelve Data,031NSETEST
041NSETEST,041NSETEST,India,NSE,Common Stock,Twelve Data,041NSETEST
051NSETEST,051NSETEST,India,NSE,Common Stock,Twelve Data,051NSETEST
061NSETEST,061NSETEST,India,NSE,Common Stock,Twelve Data,061NSETEST
071NSETEST,071NSETEST,India,NSE,Common Stock,Twelve Data,071NSETEST
081NSETEST,081NSETEST,India,NSE,Common Stock,Twelve Data,081NSETEST
091NSETEST,091NSETEST,India,NSE,Common Stock,Twelve Data,091NSETEST
101NSETEST,101NSETEST,India,NSE,Common Stock,Twelve Data,101NSETEST
111NSETEST,111NSETEST,India,NSE,Common Stock,Twelve Data,111NSETEST
11NSETEST,11NSETEST,India,NSE,Common Stock,Twelve Data,11NSETEST
121NSETEST,121NSETEST,India,NSE,Common Stock,Twelve Data,121NSETEST
131NSETEST,131NSETEST,India,NSE,Common Stock,Twelve Data,131NSETEST
141NSETEST,141NSETEST,India,NSE,Common Stock,Twelve Data,141NSETEST
151NSETEST,151NSETEST,India,NSE,Common Stock,Twelve Data,151NSETEST
161NSETEST,161NSETEST,India,NSE,Common Stock,Twelve Data,161NSETEST
171NSETEST,171NSETEST,India,NSE,Common Stock,Twelve Data,171NSETEST
181NSETEST,181NSETEST,India,NSE,Common Stock,Twelve Data,181NSETEST
20MICRONS,20 Microns Ltd.,India,NSE,Common Stock,Twelve Data,20MICRONS
21STCENMGM,"Twenty-First Century Management, Inc.",India,NSE,Common Stock,Twelve Data,21STCENMGM
360ONE,360 One Wam Ltd.,India,NSE,Common Stock,Twelve Data,360ONE
3IINFOLTD,3i Infotech Ltd.,India,NSE,Common Stock,Twelve Data,3IINFOLTD
3MINDIA,3M India Ltd.,India,NSE,Common Stock,Twelve Data,3MINDIA
3PLAND,3P Land Holdings Ltd.,India,NSE,Common Stock,Twelve Data,3PLAND
3RDROCK,3rd Rock Multimedia Ltd.,India,NSE,Common Stock,Twelve Data,3RDROCK
5PAISA,5paisa Capital Ltd.,India,NSE,Common Stock,Twelve Data,5PAISA
63MOONS,63 Moons Technologies Ltd.,India,NSE,Common Stock,Twelve Data,63MOONS
A2ZINFRA,A2Z Infra Engineering Ltd.,India,NSE,Common Stock,Twelve Data,A2ZINFRA
AAATECH,AAA Technologies Ltd.,India,NSE,Common Stock,Twelve Data,AAATECH
AADHARHFC,Aadhar Housing Finance Ltd.,India,NSE,Common Stock,Twelve Data,AADHARHFC
AAKAAR.SM,AAKAAR.SM,India,NSE,Common Stock,Twelve Data,AAKAAR.SM
AAKASH,Aakash Exploration Services Limited,India,NSE,Common Stock,Twelve Data,AAKASH
AARADHYA.SM,AARADHYA.SM,India,NSE,Common Stock,Twelve Data,AARADHYA.SM
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Ltd.,India,NSE,Common Stock,Twelve Data,AAREYDRUGS
AARNAV,AARNAV,India,NSE,Common Stock,Twelve Data,AARNAV
AARON,Aaron Industries Ltd.,India,NSE,Common Stock,Twelve Data,AARON
AARTECH,Aartech Solonics Ltd.,India,NSE,Common Stock,Twelve Data,AARTECH
AARTIDRUGS,Aarti Drugs Ltd.,India,NSE,Common Stock,Twelve Data,AARTIDRUGS
AARTIIND,Aarti Industries Ltd.,India,NSE,Common Stock,Twelve Data,AARTIIND
AARTIPHARM,Aarti Pharmalabs Ltd.,India,NSE,Common Stock,Twelve Data,AARTIPHARM
AARTISURF,Aarti Surfactants Ltd.,India,NSE,Common Stock,Twelve Data,AARTISURF
AARTISURF.PR.1,Aarti Surfactants Limited,India,NSE,Common Stock,Twelve Data,AARTISURF.PR.1
AARVI,Aarvi Encon Ltd.,India,NSE,Common Stock,Twelve Data,AARVI
AATMAJ.SM,Aatmaja Healthcare Ltd.,India,NSE,Common Stock,Twelve Data,AATMAJ.SM
AAVAS,Aavas Financiers Ltd.,India,NSE,Common Stock,Twelve Data,AAVAS
AB10BKINAV,AB10BKINAV,India,NSE,Common Stock,Twelve Data,AB10BKINAV
ABAN,Aban Offshore Ltd.,India,NSE,Common Stock,Twelve Data,ABAN
ABB,ABB India Ltd.,India,NSE,Common Stock,Twelve Data,ABB
ABBOTINDIA,Abbott India Ltd.,India,NSE,Common Stock,Twelve Data,ABBOTINDIA
ABCAPITAL,Aditya Birla Capital Ltd.,India,NSE,Common Stock,Twelve Data,ABCAPITAL
ABCAPITAL.BL,ADITYA BIRLA CAPIT,India,NSE,Common Stock,Twelve Data,ABCAPITAL.BL
ABCOTS,A B Cotspin India Limited,India,NSE,Common Stock,Twelve Data,ABCOTS
ABDL,Allied Blenders & Distillers Pvt. Ltd.,India,NSE,Common Stock,Twelve Data,ABDL
ABFRL,Aditya Birla Fashion and Retail Ltd.,India,NSE,Common Stock,Twelve Data,ABFRL
ABGSECINAV,ABGSECINAV,India,NSE,Common Stock,Twelve Data,ABGSECINAV
ABHAPOWER.SM,ABHA POWER N STEEL LTD,India,NSE,Common Stock,Twelve Data,ABHAPOWER.SM
ABINFRA,AB Infrabuild Ltd.,India,NSE,Common Stock,Twelve Data,ABINFRA
ABINFRA.SM,A B INFRABUILD LTD,India,NSE,Common Stock,Twelve Data,ABINFRA.SM
ABLBL,Aditya Birla Lifestyle Brands Limited,India,NSE,Common Stock,Twelve Data,ABLBL
ABMINTLLTD,ABM International Ltd.,India,NSE,Common Stock,Twelve Data,ABMINTLLTD
ABREL,Aditya Birla Real Estate Ltd.,India,NSE,Common Stock,Twelve Data,ABREL
