ticker,name,country,exchange,type,source,yahoo_symbol
11COV,Covestro AG,Italy,MTA,Common Stock,Twelve Data,11COV
18TRA,TRATON SE,Italy,MTA,Common Stock,Twelve Data,18TRA
19MW,Marvell Technology Inc.,Italy,MTA,Common Stock,Twelve Data,19MW
1A,Agilent Technologies Inc.,Italy,MTA,Common Stock,Twelve Data,1A
1AA,Alcoa Corporation,Italy,MTA,Common Stock,Twelve Data,1AA
1AAD,Amadeus Fire AG,Italy,MTA,Common Stock,Twelve Data,1AAD
1AAG,Aumann AG,Italy,MTA,Common Stock,Twelve Data,1AAG
1AAK,AAK AB,Italy,MTA,Common Stock,Twelve Data,1AAK
1AAL,American Airlines Group Inc.,Italy,MTA,Common Stock,Twelve Data,1AAL
1AAOI,"Applied Optoelectronics, Inc.",Italy,MTA,Common Stock,Twelve Data,1AAOI
1AAPL,Apple Inc.,Italy,MTA,Common Stock,Twelve Data,1AAPL
1ABB,ABB Ltd,Italy,MTA,Common Stock,Twelve Data,1ABB
1ABBV,AbbVie Inc.,Italy,MTA,Common Stock,Twelve Data,1ABBV
1ABI,Anheuser-Busch InBev SA/NV,Italy,MTA,Common Stock,Twelve Data,1ABI
1ABNB,"Airbnb, Inc.",Italy,MTA,Common Stock,Twelve Data,1ABNB
1ABT,Abbott Laboratories,Italy,MTA,Common Stock,Twelve Data,1ABT
1ACA,Crédit Agricole S.A.,Italy,MTA,Common Stock,Twelve Data,1ACA
1ACGL,Arch Capital Group Ltd.,Italy,MTA,Common Stock,Twelve Data,1ACGL
1ACHC,Acadia Healthcare Company Inc.,Italy,MTA,Common Stock,Twelve Data,1ACHC
1ACLS,Axcelis Technologies Inc.,Italy,MTA,Common Stock,Twelve Data,1ACLS
1ACMR,"ACM Research, Inc.",Italy,MTA,Common Stock,Twelve Data,1ACMR
1ACN,Accenture plc,Italy,MTA,Common Stock,Twelve Data,1ACN
1ACS,"ACS, Actividades de Construcción y Servicios, S.A.",Italy,MTA,Common Stock,Twelve Data,1ACS
1ACX,"Acerinox, S.A.",Italy,MTA,Common Stock,Twelve Data,1ACX
1AD,Koninklijke Ahold Delhaize N.V.,Italy,MTA,Common Stock,Twelve Data,1AD
1ADBE,Adobe Inc.,Italy,MTA,Common Stock,Twelve Data,1ADBE
1ADDT,Addtech AB (publ.) Class B shares,Italy,MTA,Common Stock,Twelve Data,1ADDT
1ADE,Bitcoin Group SE,Italy,MTA,Common Stock,Twelve Data,1ADE
1ADEN,Adecco Group AG,Italy,MTA,Common Stock,Twelve Data,1ADEN
1ADI,Analog Devices Inc.,Italy,MTA,Common Stock,Twelve Data,1ADI
1ADJ,Adler Group S.A.,Italy,MTA,Common Stock,Twelve Data,1ADJ
1ADM,Archer-Daniels-Midland Co,Italy,MTA,Common Stock,Twelve Data,1ADM
1ADP,"Automatic Data Processing, Inc.",Italy,MTA,Common Stock,Twelve Data,1ADP
1ADS,adidas AG,Italy,MTA,Common Stock,Twelve Data,1ADS
1ADSK,Autodesk Inc.,Italy,MTA,Common Stock,Twelve Data,1ADSK
1AEE,Ameren Corporation,Italy,MTA,Common Stock,Twelve Data,1AEE
1AENA,Aena SME SA,Italy,MTA,Common Stock,Twelve Data,1AENA
1AEO,"American Eagle Outfitters, Inc.",Italy,MTA,Common Stock,Twelve Data,1AEO
1AEP,"American Electric Power Company, Inc.",Italy,MTA,Common Stock,Twelve Data,1AEP
1AES,AES Corporation,Italy,MTA,Common Stock,Twelve Data,1AES
1AF,Air France-KLM SA,Italy,MTA,Common Stock,Twelve Data,1AF
1AFL,Aflac Inc.,Italy,MTA,Common Stock,Twelve Data,1AFL
1AFRM,"Affirm Holdings, Inc.",Italy,MTA,Common Stock,Twelve Data,1AFRM
1AFX,Carl Zeiss Meditec AG,Italy,MTA,Common Stock,Twelve Data,1AFX
1AG1,AUTO1 Group SE,Italy,MTA,Common Stock,Twelve Data,1AG1
1AGN,Aegon N.V.,Italy,MTA,Common Stock,Twelve Data,1AGN
1AGS,ageas SA/NV,Italy,MTA,Common Stock,Twelve Data,1AGS
