ticker,name,country,exchange,type,source,yahoo_symbol
AA261,OOSTNRIJK 6 1/4%27,Netherlands,Euronext,Common Stock,Twelve Data,AA261
AALB,Aalberts N.V.,Netherlands,Euronext,Common Stock,Twelve Data,AALB
ABN,ABN AMRO Bank N.V. Depositary Receipt,Netherlands,Euronext,Depositary Receipt,Twelve Data,ABN
ACOMO,ACOMO N.V.,Netherlands,Euronext,Common Stock,Twelve Data,ACOMO
AD,Koninklijke Ahold Delhaize N.V.,Netherlands,Euronext,Common Stock,Twelve Data,AD
ADYEN,Adyen N.V.,Netherlands,Euronext,Common Stock,Twelve Data,ADYEN
AGIL,Agility Real Estate Inc.,Netherlands,Euronext,Common Stock,Twelve Data,AGIL
AGN,Aegon Ltd.,Netherlands,Euronext,Common Stock,Twelve Data,AGN
AI261,Netherlands Government Bond 5.5% 01/15/2028,Netherlands,Euronext,Common Stock,Twelve Data,AI261
AJAX,AFC Ajax NV,Netherlands,Euronext,Common Stock,Twelve Data,AJAX
AKZA,Akzo Nobel N.V.,Netherlands,Euronext,Common Stock,Twelve Data,AKZA
ALFEN,Alfen N.V.,Netherlands,Euronext,Common Stock,Twelve Data,ALFEN
ALLFG,Allfunds Group plc,Netherlands,Euronext,Common Stock,Twelve Data,ALLFG
ALX,Alumexx N.V.,Netherlands,Euronext,Common Stock,Twelve Data,ALX
AMG,AMG Critical Materials N.V.,Netherlands,Euronext,Common Stock,Twelve Data,AMG
AMINA.USD,Tracker Securities on AMINAX In,Netherlands,Euronext,Common Stock,Twelve Data,AMINA.USD
AMUND,Almunda Professionals N.V.,Netherlands,Euronext,Common Stock,Twelve Data,AMUND
APAM,Aperam S.A.,Netherlands,Euronext,Common Stock,Twelve Data,APAM
APTOS.USD,21Shares Aptos Staking ETP,Netherlands,Euronext,Common Stock,Twelve Data,APTOS.USD
ARCAD,Arcadis NV,Netherlands,Euronext,Common Stock,Twelve Data,ARCAD
ASM,ASM International NV,Netherlands,Euronext,Common Stock,Twelve Data,ASM
ASML,ASML Holding N.V.,Netherlands,Euronext,Common Stock,Twelve Data,ASML
ASRNL,ASR Nederland N.V.,Netherlands,Euronext,Common Stock,Twelve Data,ASRNL
AVTX,Avantium N.V.,Netherlands,Euronext,Common Stock,Twelve Data,AVTX
AXS,Accsys Technologies PLC,Netherlands,Euronext,Common Stock,Twelve Data,AXS
AZRN,Azerion Group N.V.,Netherlands,Euronext,Common Stock,Twelve Data,AZRN
AZRNW,European FinTech IPO Company N.V.,Netherlands,Euronext,Warrant,Twelve Data,AZRNW
BACE,Brigade-M3 European Acquisition Corp.,Netherlands,Euronext,Common Stock,Twelve Data,BACE
BAMNB,Koninklijke BAM Groep NV,Netherlands,Euronext,Common Stock,Twelve Data,BAMNB
BESI,BE Semiconductor Industries N.V.,Netherlands,Euronext,Common Stock,Twelve Data,BESI
BEVER,Bever Holding N.V.,Netherlands,Euronext,Common Stock,Twelve Data,BEVER
BFIT,Basic-Fit N.V.,Netherlands,Euronext,Common Stock,Twelve Data,BFIT
BITC.XAMS,CoinShares Physical Bitcoin,Netherlands,Euronext,Common Stock,Twelve Data,BITC.XAMS
BLOC.USD,WisdomTree Physical Crypto Mark,Netherlands,Euronext,Common Stock,Twelve Data,BLOC.USD
