ticker,name,country,exchange,type,source,yahoo_symbol
2020,2020 Bulkers Ltd.,Norway,OSE,Common Stock,Twelve Data,2020
2020O,2020 Bulkers Ltd.,Norway,OSE,Common Stock,Twelve Data,2020O
5PG,5th Planet Games A/S,Norway,OSE,Common Stock,Twelve Data,5PG
AASB,Aasen Sparebank,Norway,OSE,Common Stock,Twelve Data,AASB
AASB27.PR.RO,Aasen Spb 21/26 FRN,Norway,OSE,Common Stock,Twelve Data,AASB27.PR.RO
AASB41.PR.RO,AASB41.PR.RO,Norway,OSE,Common Stock,Twelve Data,AASB41.PR.RO
ABG,ABG Sundal Collier Holding ASA,Norway,OSE,Common Stock,Twelve Data,ABG
ABGO,ABG Sundal Collier ASA,Norway,OSE,Common Stock,Twelve Data,ABGO
ABL,ABL Group ASA,Norway,OSE,Common Stock,Twelve Data,ABL
ABLO,ABL Group ASA,Norway,OSE,Common Stock,Twelve Data,ABLO
ABS,Arctic Bioscience ASA,Norway,OSE,Common Stock,Twelve Data,ABS
ABTEC,Aqua Bio Technology ASA,Norway,OSE,Common Stock,Twelve Data,ABTEC
ABTECO,Aqua Bio Technology ASA,Norway,OSE,Common Stock,Twelve Data,ABTECO
ACED,Ace Digital AS,Norway,OSE,Common Stock,Twelve Data,ACED
ACR,Axactor ASA,Norway,OSE,Common Stock,Twelve Data,ACR
ACRO,Axactor ASA,Norway,OSE,Common Stock,Twelve Data,ACRO
ADBA08.PR.RO,ADBA08.PR.RO,Norway,OSE,Common Stock,Twelve Data,ADBA08.PR.RO
ADS,Ads Maritime Holding Plc,Norway,OSE,Common Stock,Twelve Data,ADS
AFG,AF Gruppen ASA,Norway,OSE,Common Stock,Twelve Data,AFG
AFGO,AF Gruppen ASA,Norway,OSE,Common Stock,Twelve Data,AFGO
AFISH,Arctic Fish Holding AS,Norway,OSE,Common Stock,Twelve Data,AFISH
AFK,Arendals Fossekompani ASA,Norway,OSE,Common Stock,Twelve Data,AFK
AFKO,Arendals Fossekompani ASA,Norway,OSE,Common Stock,Twelve Data,AFKO
AGDER07.PR.RO,Ostre Agder Spb 21/31 FRN C SUB,Norway,OSE,Common Stock,Twelve Data,AGDER07.PR.RO
AGDER14.PR.RO,Arendal og Omegns Spb 21/26 FRN,Norway,OSE,Common Stock,Twelve Data,AGDER14.PR.RO
AGDER24.PR.RO,Agder Spb 25/30 FRN,Norway,OSE,Common Stock,Twelve Data,AGDER24.PR.RO
AGDER25.PR.RO,AGDER25.PR.RO,Norway,OSE,Common Stock,Twelve Data,AGDER25.PR.RO
AGLX,Agilyx ASA,Norway,OSE,Common Stock,Twelve Data,AGLX
AGLXO,Agilyx ASA,Norway,OSE,Common Stock,Twelve Data,AGLXO
AIRX,Airthings ASA,Norway,OSE,Common Stock,Twelve Data,AIRX
AIX,Ayfie Group AS,Norway,OSE,Common Stock,Twelve Data,AIX
AKAST,Akastor ASA,Norway,OSE,Common Stock,Twelve Data,AKAST
AKASTO,Akastor ASA,Norway,OSE,Common Stock,Twelve Data,AKASTO
AKBM,Aker BioMarine ASA,Norway,OSE,Common Stock,Twelve Data,AKBM
AKBMO,Aker BioMarine ASA,Norway,OSE,Common Stock,Twelve Data,AKBMO
AKER,Aker ASA Series A Shares,Norway,OSE,Common Stock,Twelve Data,AKER
AKERO,Aker,Norway,OSE,Common Stock,Twelve Data,AKERO
AKH,Aker Horizons ASA,Norway,OSE,Common Stock,Twelve Data,AKH
AKHO,Aker Horizons ASA,Norway,OSE,Common Stock,Twelve Data,AKHO
