ticker,name,country,exchange,type,source,yahoo_symbol
480S,Soluciones Cuatroochenta S.A.,Spain,BME,Common Stock,Twelve Data,480S
A3M,"Atresmedia Corporación de Medios de Comunicación, S.A.",Spain,BME,Common Stock,Twelve Data,A3M
ACS,"ACS, Actividades de Construcción y Servicios, S.A.",Spain,BME,Common Stock,Twelve Data,ACS
ACX,"Acerinox, S.A.",Spain,BME,Common Stock,Twelve Data,ACX
ADX,"Audax Renovables, S.A.",Spain,BME,Common Stock,Twelve Data,ADX
ADZ,"Adolfo Domínguez, S.A.",Spain,BME,Common Stock,Twelve Data,ADZ
AEDAS,"Aedas Homes, S.A.",Spain,BME,Common Stock,Twelve Data,AEDAS
AENA,Aena SME SA,Spain,BME,Common Stock,Twelve Data,AENA
AGIL,Agile Content S.A.,Spain,BME,Common Stock,Twelve Data,AGIL
AI,Airtificial Intelligence Structures SA,Spain,BME,Common Stock,Twelve Data,AI
AIR,Airbus SE,Spain,BME,Common Stock,Twelve Data,AIR
ALC,Altia Consultores S.A.,Spain,BME,Common Stock,Twelve Data,ALC
ALM,"Almirall, S.A.",Spain,BME,Common Stock,Twelve Data,ALM
ALNT,"Alantra Partners, S.A.",Spain,BME,Common Stock,Twelve Data,ALNT
ALQ,"Alquiber Quality, S.A.",Spain,BME,Common Stock,Twelve Data,ALQ
AMEN,Aeternal Mentis Inc.,Spain,BME,Common Stock,Twelve Data,AMEN
AMP,"Amper, S.A.",Spain,BME,Common Stock,Twelve Data,AMP
AMS,"Amadeus IT Group, S.A.",Spain,BME,Common Stock,Twelve Data,AMS
ANA,"Acciona, S.A.",Spain,BME,Common Stock,Twelve Data,ANA
ANE,"Corporación Acciona Energías Renovables, S.A.",Spain,BME,Common Stock,Twelve Data,ANE
APAM,Aperam S.A.,Spain,BME,Common Stock,Twelve Data,APAM
APG,Axon Partners Group S.A.,Spain,BME,Common Stock,Twelve Data,APG
ARM,"Árima Real Estate SOCIMI, S.A.",Spain,BME,REIT,Twelve Data,ARM
ART,"Arteche Lantegi Elkartea, S.A.",Spain,BME,Common Stock,Twelve Data,ART
ATRY,"Atrys Health, S.A.",Spain,BME,Common Stock,Twelve Data,ATRY
ATSI,Aplicaciones y Tratamientos S.A.,Spain,BME,Common Stock,Twelve Data,ATSI
AZK,"Azkoyen, S.A.",Spain,BME,Common Stock,Twelve Data,AZK
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Spain,BME,Common Stock,Twelve Data,BBVA
