ticker,name,country,exchange,type,source,yahoo_symbol
2CUREX,2cureX AB,Sweden,OMX,Common Stock,Twelve Data,2CUREX
4C,4C Group AB,Sweden,OMX,Common Stock,Twelve Data,4C
8TRA,TRATON SE,Sweden,OMX,Common Stock,Twelve Data,8TRA
AAC,Aac Clyde Space AB,Sweden,OMX,Common Stock,Twelve Data,AAC
AAK,AAK AB,Sweden,OMX,Common Stock,Twelve Data,AAK
ABAS,Abas Protect AB,Sweden,OMX,Common Stock,Twelve Data,ABAS
ABB,ABB Ltd,Sweden,OMX,Common Stock,Twelve Data,ABB
ABERA,Abera Bioscience AB,Sweden,OMX,Common Stock,Twelve Data,ABERA
ABI,AB Igrene,Sweden,OMX,Common Stock,Twelve Data,ABI
ABSL.B,Absolicon Solar Collector AB,Sweden,OMX,Common Stock,Twelve Data,ABSL.B
ABSO,Absolent Air Care Group AB,Sweden,OMX,Common Stock,Twelve Data,ABSO
ACAD,AcadeMedia AB,Sweden,OMX,Common Stock,Twelve Data,ACAD
ACAD.SR,AcadeMedia AB SR,Sweden,OMX,Common Stock,Twelve Data,ACAD.SR
ACARIX,Acarix AB,Sweden,OMX,Common Stock,Twelve Data,ACARIX
ACAST,Acast AB,Sweden,OMX,Common Stock,Twelve Data,ACAST
ACCON,Acconeer AB,Sweden,OMX,Common Stock,Twelve Data,ACCON
ACE,Ascelia Pharma AB (publ),Sweden,OMX,Common Stock,Twelve Data,ACE
ACOU,Acousort AB,Sweden,OMX,Common Stock,Twelve Data,ACOU
ACRI.A,Acrinova AB,Sweden,OMX,Common Stock,Twelve Data,ACRI.A
ACRI.B,Acrinova AB,Sweden,OMX,Common Stock,Twelve Data,ACRI.B
ACROUD,Acroud AB,Sweden,OMX,Common Stock,Twelve Data,ACROUD
ACTI,Active Biotech AB (publ),Sweden,OMX,Common Stock,Twelve Data,ACTI
ACUC,Acucort AB,Sweden,OMX,Common Stock,Twelve Data,ACUC
ACUC.TO.2,ACUC.TO.2,Sweden,OMX,Common Stock,Twelve Data,ACUC.TO.2
ACUVI,Acuvi AB,Sweden,OMX,Common Stock,Twelve Data,ACUVI
ADDT.B,AddTech AB,Sweden,OMX,Common Stock,Twelve Data,ADDT.B
