ticker,name,country,exchange,type,source,yahoo_symbol
AA,Alcoa Corporation,Switzerland,SIX,Common Stock,Twelve Data,AA
AAD,Amadeus Fire AG,Switzerland,SIX,Common Stock,Twelve Data,AAD
AAM,Anglo American plc,Switzerland,SIX,Common Stock,Twelve Data,AAM
AAPL,Apple Inc.,Switzerland,SIX,Common Stock,Twelve Data,AAPL
ABB25,ABB25,Switzerland,SIX,Common Stock,Twelve Data,ABB25
ABB251,ABB251,Switzerland,SIX,Common Stock,Twelve Data,ABB251
ABBN,ABB Ltd,Switzerland,SIX,Common Stock,Twelve Data,ABBN
ABBNE,ABB Ltd.,Switzerland,SIX,Common Stock,Twelve Data,ABBNE
ABBV,AbbVie Inc.,Switzerland,SIX,Common Stock,Twelve Data,ABBV
ABC26,ABC26,Switzerland,SIX,Common Stock,Twelve Data,ABC26
ABC261,ABC261,Switzerland,SIX,Common Stock,Twelve Data,ABC261
ABC262,Alphabet Inc. 1.2525% 03/03/36,Switzerland,SIX,Common Stock,Twelve Data,ABC262
ABC263,ABC263,Switzerland,SIX,Common Stock,Twelve Data,ABC263
ABC264,ABC264,Switzerland,SIX,Common Stock,Twelve Data,ABC264
ABT,Abbott Laboratories,Switzerland,SIX,Common Stock,Twelve Data,ABT
ACLN,Accelleron Industries AG,Switzerland,SIX,Common Stock,Twelve Data,ACLN
ADBE.USD,ADBE.USD,Switzerland,SIX,Common Stock,Twelve Data,ADBE.USD
ADEN,Adecco Group AG,Switzerland,SIX,Common Stock,Twelve Data,ADEN
ADS,adidas AG,Switzerland,SIX,Common Stock,Twelve Data,ADS
ADVN,Adval Tech Holding AG,Switzerland,SIX,Common Stock,Twelve Data,ADVN
ADXN,Addex Therapeutics Ltd,Switzerland,SIX,Common Stock,Twelve Data,ADXN
ADYEN,Adyen N.V.,Switzerland,SIX,Common Stock,Twelve Data,ADYEN
AERO,Montana Aerospace AG,Switzerland,SIX,Common Stock,Twelve Data,AERO
AEVS,Aevis Victoria SA,Switzerland,SIX,Common Stock,Twelve Data,AEVS
AFX,Carl Zeiss Meditec AG,Switzerland,SIX,Common Stock,Twelve Data,AFX
AGK253,AGK253,Switzerland,SIX,Common Stock,Twelve Data,AGK253
AKE25,AKE25,Switzerland,SIX,Common Stock,Twelve Data,AKE25
AKE251,AKE251,Switzerland,SIX,Common Stock,Twelve Data,AKE251
