ticker,name,country,exchange,type,source,yahoo_symbol
01OK,Österreichische Kontrollbank AG,United Kingdom,LSE,Common Stock,Twelve Data,01OK
02NG,Equinor ASA 6.125% SNR MTN 27/11/2028 GBP1000,United Kingdom,LSE,Common Stock,Twelve Data,02NG
09II,Dr. Ing. h.c. F. Porsche Aktiengesellschaft Preference,United Kingdom,LSE,Preferred Stock,Twelve Data,09II
0A00,Akzo Nobel N.V.,United Kingdom,LSE,Common Stock,Twelve Data,0A00
0A05,Medacta Group SA,United Kingdom,LSE,Common Stock,Twelve Data,0A05
0A0C,Stadler Rail AG,United Kingdom,LSE,Common Stock,Twelve Data,0A0C
0A0D,Alcon Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A0D
0A0E,Kojamo Oyj,United Kingdom,LSE,Common Stock,Twelve Data,0A0E
0A0F,Citycon Oyj,United Kingdom,LSE,Common Stock,Twelve Data,0A0F
0A0H,Beijer Ref AB,United Kingdom,LSE,Common Stock,Twelve Data,0A0H
0A0I,Wihlborgs Fastigheter AB (publ),United Kingdom,LSE,Common Stock,Twelve Data,0A0I
0A0J,AAK AB,United Kingdom,LSE,Common Stock,Twelve Data,0A0J
0A0K,Nyfosa AB (publ),United Kingdom,LSE,Common Stock,Twelve Data,0A0K
0A0L,Sectra AB (publ),United Kingdom,LSE,Common Stock,Twelve Data,0A0L
0A0X,Fox Corporation,United Kingdom,LSE,Common Stock,Twelve Data,0A0X
0A18,CGI Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A18
0A1K,Nio Inc.,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A1K
0A1O,"Zoom Video Communications, Inc.",United Kingdom,LSE,Common Stock,Twelve Data,0A1O
0A1S,Dow Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A1S
0A1U,"Uber Technologies, Inc.",United Kingdom,LSE,Common Stock,Twelve Data,0A1U
0A1W,Corteva Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A1W
0A20,Beyond Meat Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A20
0A22,Anheuser-Busch InBev S.A. ADR,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A22
0A27,MPC Container Ships ASA,United Kingdom,LSE,Common Stock,Twelve Data,0A27
0A28,Prosus N.V.,United Kingdom,LSE,Common Stock,Twelve Data,0A28
0A29,Solutions 30 SE,United Kingdom,LSE,Common Stock,Twelve Data,0A29
0A2A,Stillfront Group AB (publ),United Kingdom,LSE,Common Stock,Twelve Data,0A2A
0A2B,"Banco Bilbao Vizcaya Argentaria, S.A.",United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2B
0A2I,H World Group Limited American Depositary Receipt,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2I
0A2L,International Consolidated Airlines Group S.A. Sponsored ADR,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2L
0A2M,Koninklijke Philips N.V.,United Kingdom,LSE,Depositary Receipt,Twelve Data,0A2M
0A2N,Lynas Rare Earths Limited,United Kingdom,LSE,Common Stock,Twelve Data,0A2N
0A2O,Lyft Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A2O
0A2S,PDD Holdings Inc. American Depositary Shares,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2S
0A2T,Qudian Inc. Sponsored ADR,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2T
0A2U,Ryanair Holdings plc American Depositary Receipt,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2U
0A2V,Sanofi American Depositary Receipt,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2V
0A2W,SAP SE Sponsored ADR,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2W
0A2X,Tal Education Group,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2X
0A2Y,Telefónica S.A. Sponsored ADR,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2Y
0A2Z,Tencent Music Entertainment Group,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A2Z
0A32,UP Fintech Holding Ltd,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A32
0A33,ZTO Express (Cayman) Inc.,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A33
0A36,TeamViewer SE,United Kingdom,LSE,Common Stock,Twelve Data,0A36
0A37,Betsson AB (publ),United Kingdom,LSE,Common Stock,Twelve Data,0A37
0A39,Karnov Group AB (publ),United Kingdom,LSE,Common Stock,Twelve Data,0A39
0A3B,Musti Group Oyj,United Kingdom,LSE,Common Stock,Twelve Data,0A3B
0A3H,Pexip Holding ASA,United Kingdom,LSE,Common Stock,Twelve Data,0A3H
0A3L,Vertex Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A3L
0A3M,BioNTech SE,United Kingdom,LSE,American Depositary Receipt,Twelve Data,0A3M
0A3N,CrowdStrike Holdings Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A3N
0A3O,Datadog Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A3O
0A3P,Fastly Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A3P
0A3S,Novavax Inc.,United Kingdom,LSE,Common Stock,Twelve Data,0A3S
